cuidar, guardar	Waqaychay.
culebra	Machaqway.
culpar, imputar	Tumpay.
cultivar, aporcar por primera vez	Hallmay.
cuña	Chillpa.
curandero	Hampikuq.
curar	Hampiy.
cuy	Quwi.
cuy macho	Kututu.
dar palmadas	Taqllay.
decir	Niy.
declamar, cantar	Harawiy.
dedo	Rukana.
delante	Ñawpaq.
delgado	Llañu.
dentro	Uku.
derecho	Alliq.
derecho	Paña.
desafilado, alga	Laqu.
desatar	Paskay.
describir	Sutinchay.
desgrana	Iskuy.
deshierbar	Quray.
desordenar, amasar	Chapuy.
despancar	Tipiy.
despedida especial en las fiestas	Kacharpariy.
despertar	Rikchay.
deteriorado	Pumpu.
deuda	Manu.
devolverse un favor mutuamente	Kutichinakuy.
día	Punchaw.
diafragma	Wisqan.
dialogar	Rimanakuy.
diarrea	Qicha.
diente	Kiru.
diez	Chunka.
dificilísimo, sobrecargado	Atiy-atiy.
dios tutelar	Apu.
dirigente	Umalliq.
disolver, remojar	Chulluy.
doblar	Pataray.
doler, dolor	Nanay.
donar, regalar	Llukiy.
dormir	Puñuy.
drama, comedia	Aranwa.
dulce, miel	Miski.
elástico duro	Anku.
emanar olor	Asnay.
embadurnar, untar	Llusiy.
embarazada	Unquq.
emborracharse	Machay.
emplastar	Qipichay.
empujar	Tanqay.
en vano, inútil	Yanqa.
enano	Umutu.
endeudarse, fiarse	Manukuy.
enemigo, adversario	Awqa.
enfermedad	Enfermarse. Unquy.
enfermedad venérea	Wanti.
enfermo	Unquq.
engañar	Pantachiy, yukay.
engendrar, procrear	Yumay.
enjuagar	Aywiy.
enojado, molesto	Piña.
ensartar, introducir	Ustuchiy.
enterrar	Pampay.
entonar triunfos	Haylliy.
entrar	Yaykuy.
envolver masa con hojas	Pintuy.
envolver, vendar	Wankiy.
epoca, tiempo	Mita.
equivocarse, errar	Pantay.
eriazo	Purun.
erizo	Askanku.
eructar	Kakyay.
escaldadura	Llilli.
escapar, huir	Ayqiy.
escapar, huir	Lluptiy.
escarabajo	Akatanqa.
escarbador	Kawsu.
escarbar	Allay.
escarmenar	Tisay.
escocer, dar comezón	Siqsiy.
escoger	Akllay.
escroto	Luqsu.
escribir	Qillqay.
escudo	Pullkanqa.
escuela	Yachay wasi.
esfera	Ruyru.
esforzar, fotalecer	Kallpachay.
espalda	Wasa.
espantapájaros	Manchachi.
esparcir cereales	Maqchiy.
esparcir	Wakay.
espejo	Lirpu.
esperanza	Saywa.
esperar	Suyay.
espina	Kichka.
esposo, marido	Qusa.
espuma	Pusuqu.
esquilar, cortar	Rutuy.
estaño	Yuraq titi.
este	Kay.
estera	Istira.
estiércol de ovinos, cabras y camélidos	Taqya.
estiércol extraído de corral, abono, desperdicio	Wanu.
estornudar	Hachiy.
estrecho	Kichki.
estrella	Quyllur.
estreñido	Aka kichki.
estrofa	Yarayma.
excremento	Aka.
exprimir	Qapiy.
extraviar	Chinkay.
falda	Palika.
feto, aborto	Sullu.
fiambre	Quqaw.
fiesta	Raymi.
fila, línea, dibujo	Siqi.
flamenco	Pariwana.
flauta de madera	Tarqa.
flauta	Pinkuyllu.
flecha	Wachi.
flor de maíz	Parwa.
flor	Sisa.
flor	Wayta.
flotar	Tuytuy.
fogón	Tullpa.
fontanela	Pukyun.
fortaleza	Pukara.
freír	Tiqtiy.
frente	Mati.
frente	Urku.
frijol	Purutu.
frío	Chiri.
frotar, sobar	Qaquy.
fruto de un cactus	Sankayu, wanachu.
fruto	Ruru.
fuerza	Kallpa.
fundar, crear	Paqarichiy.
gallina	Wallpa.
gallinazo	Ullatu.
gallo	Utulu.
ganar, vencer	Ipay.
ganso andino	Wallata.
